ID|Titel|Inhalt|Autor|Kategorie|Sentiment|Wortanzahl|Datum|Uhrzeit|Quelle|Shares
523|Die Rolle der künstlichen Intelligenz in der Gesundheit 1935|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|485.0|2024-01-86|09:46|HealthWeekly|3400.0
524|Die nächsten Schritte in der Energiewende 1935|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|563.0|2024-03|08:16|EnergyReview|1600.0
525|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|683.0|2024-01-56|19:28|WorldPolitics|3300.0
526|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
527|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|883.0|2024-11-06|16:30|ScienceToday|1900.0
528|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|615.0|2024-01-87|21:08|HealthWeekly|3200.0
529|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|545.0|2024-04-13|15:26|TechNews|2700.0
530|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1934|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|594.0|2024-04-13|11:56|FinanceDaily|4800.0
531|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|372.0|2024-01-87|10:58|CryptoTimes|3700.0
532|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1933|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
533|Die nächsten Trends im Sportbereich 1933|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
534|Die Rolle der künstlichen Intelligenz in der Gesundheit 1933|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|486.0|2024-01-88|09:46|HealthWeekly|3400.0
535|Die nächsten Schritte in der Energiewende 1933|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|564.0|2024-03|08:16|EnergyReview|1600.0
536|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|684.0|2024-01-57|19:28|WorldPolitics|3300.0
537|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
538|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|884.0|2024-11-06|16:30|ScienceToday|1900.0
539|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|616.0|2024-01-89|21:08|HealthWeekly|3200.0
540|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|546.0|2024-04-14|15:26|TechNews|2700.0
541|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1932|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|595.0|2024-04-14|11:58|FinanceDaily|4800.0
542|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|373.0|2024-01-90|10:58|CryptoTimes|3700.0
543|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1931|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
544|Die nächsten Trends im Sportbereich 1931|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
545|Die Rolle der künstlichen Intelligenz in der Gesundheit 1931|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|487.0|2024-01-91|09:46|HealthWeekly|3400.0
546|Die nächsten Schritte in der Energiewende 1931|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|565.0|2024-03|08:16|EnergyReview|1600.0
547|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|685.0|2024-01-58|19:28|WorldPolitics|3300.0
548|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
549|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|885.0|2024-11-06|16:30|ScienceToday|1900.0
550|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|617.0|2024-01-92|21:08|HealthWeekly|3200.0
551|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|547.0|2024-04-15|15:26|TechNews|2700.0
552|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1930|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|596.0|2024-04-15|11:58|FinanceDaily|4800.0
553|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|374.0|2024-01-93|10:58|CryptoTimes|3700.0
554|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1929|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
555|Die nächsten Trends im Sportbereich 1929|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
556|Die Rolle der künstlichen Intelligenz in der Gesundheit 1929|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|488.0|2024-01-94|09:46|HealthWeekly|3400.0
557|Die nächsten Schritte in der Energiewende 1929|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|566.0|2024-03|08:16|EnergyReview|1600.0
558|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|686.0|2024-01-59|19:28|WorldPolitics|3300.0
559|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
560|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|886.0|2024-11-06|16:30|ScienceToday|1900.0
561|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|618.0|2024-01-95|21:08|HealthWeekly|3200.0
562|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|548.0|2024-04-16|15:26|TechNews|2700.0
563|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1928|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|597.0|2024-04-16|11:58|FinanceDaily|4800.0
564|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|375.0|2024-01-96|10:58|CryptoTimes|3700.0
565|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1927|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
566|Die nächsten Trends im Sportbereich 1927|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
567|Die Rolle der künstlichen Intelligenz in der Gesundheit 1927|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|489.0|2024-01-97|09:46|HealthWeekly|3400.0
568|Die nächsten Schritte in der Energiewende 1927|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|567.0|2024-03|08:16|EnergyReview|1600.0
569|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|687.0|2024-01-60|19:28|WorldPolitics|3300.0
570|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
571|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|887.0|2024-11-06|16:30|ScienceToday|1900.0
572|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|619.0|2024-01-98|21:08|HealthWeekly|3200.0
573|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|549.0|2024-04-17|15:26|TechNews|2700.0
574|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1926|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|598.0|2024-04-17|11:58|FinanceDaily|4800.0
575|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|376.0|2024-01-99|10:58|CryptoTimes|3700.0
576|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1925|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
577|Die nächsten Trends im Sportbereich 1925|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
578|Die Rolle der künstlichen Intelligenz in der Gesundheit 1925|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|490.0|2024-01-100|09:46|HealthWeekly|3400.0
579|Die nächsten Schritte in der Energiewende 1925|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|568.0|2024-03|08:16|EnergyReview|1600.0
580|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|688.0|2024-01-61|19:28|WorldPolitics|3300.0
581|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
582|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|888.0|2024-11-06|16:30|ScienceToday|1900.0
583|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|620.0|2024-01-101|21:08|HealthWeekly|3200.0
584|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|550.0|2024-04-18|15:26|TechNews|2700.0
585|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1924|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|599.0|2024-04-18|11:58|FinanceDaily|4800.0
586|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|377.0|2024-01-102|10:58|CryptoTimes|3700.0
587|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1923|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
588|Die nächsten Trends im Sportbereich 1923|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
589|Die Rolle der künstlichen Intelligenz in der Gesundheit 1923|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|491.0|2024-01-103|09:46|HealthWeekly|3400.0
590|Die nächsten Schritte in der Energiewende 1923|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|569.0|2024-03|08:16|EnergyReview|1600.0
591|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|689.0|2024-01-62|19:28|WorldPolitics|3300.0
592|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
593|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|889.0|2024-11-06|16:30|ScienceToday|1900.0
594|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|621.0|2024-01-104|21:08|HealthWeekly|3200.0
595|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|551.0|2024-04-19|15:26|TechNews|2700.0
596|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1922|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|600.0|2024-04-19|11:58|FinanceDaily|4800.0
597|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|378.0|2024-01-105|10:58|CryptoTimes|3700.0
598|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1921|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
599|Die nächsten Trends im Sportbereich 1921|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
600|Die Rolle der künstlichen Intelligenz in der Gesundheit 1921|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|492.0|2024-01-106|09:46|HealthWeekly|3400.0
601|Die nächsten Schritte in der Energiewende 1921|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|570.0|2024-03|08:16|EnergyReview|1600.0
602|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|690.0|2024-01-63|19:28|WorldPolitics|3300.0
603|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
604|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|890.0|2024-11-06|16:30|ScienceToday|1900.0
605|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|622.0|2024-01-107|21:08|HealthWeekly|3200.0
606|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|552.0|2024-04-20|15:26|TechNews|2700.0
607|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1920|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|601.0|2024-04-20|11:58|FinanceDaily|4800.0
608|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|379.0|2024-01-108|10:58|CryptoTimes|3700.0
609|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1919|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
610|Die nächsten Trends im Sportbereich 1919|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
611|Die Rolle der künstlichen Intelligenz in der Gesundheit 1919|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|493.0|2024-01-109|09:46|HealthWeekly|3400.0
612|Die nächsten Schritte in der Energiewende 1919|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|571.0|2024-03|08:16|EnergyReview|1600.0
613|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|691.0|2024-01-64|19:28|WorldPolitics|3300.0
614|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
615|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|891.0|2024-11-06|16:30|ScienceToday|1900.0
616|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|623.0|2024-01-110|21:08|HealthWeekly|3200.0
617|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|553.0|2024-04-21|15:26|TechNews|2700.0
618|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1918|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|602.0|2024-04-21|11:58|FinanceDaily|4800.0
619|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|379.0|2024-01-111|10:58|CryptoTimes|3700.0
620|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1917|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
621|Die nächsten Trends im Sportbereich 1917|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
622|Die Rolle der künstlichen Intelligenz in der Gesundheit 1917|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|494.0|2024-01-112|09:46|HealthWeekly|3400.0
623|Die nächsten Schritte in der Energiewende 1917|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|572.0|2024-03|08:16|EnergyReview|1600.0
624|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|692.0|2024-01-65|19:28|WorldPolitics|3300.0
625|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
626|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|892.0|2024-11-06|16:30|ScienceToday|1900.0
627|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|624.0|2024-01-113|21:08|HealthWeekly|3200.0
628|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|554.0|2024-04-22|15:26|TechNews|2700.0
629|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1916|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|603.0|2024-04-22|11:58|FinanceDaily|4800.0
630|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|379.0|2024-01-114|10:58|CryptoTimes|3700.0
631|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1915|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
632|Die nächsten Trends im Sportbereich 1915|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
633|Die Rolle der künstlichen Intelligenz in der Gesundheit 1915|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|495.0|2024-01-115|09:46|HealthWeekly|3400.0
634|Die nächsten Schritte in der Energiewende 1915|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|573.0|2024-03|08:16|EnergyReview|1600.0
635|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|693.0|2024-01-66|19:28|WorldPolitics|3300.0
636|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
637|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|893.0|2024-11-06|16:30|ScienceToday|1900.0
638|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|625.0|2024-01-116|21:08|HealthWeekly|3200.0
639|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|555.0|2024-04-23|15:26|TechNews|2700.0
640|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1914|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|604.0|2024-04-23|11:58|FinanceDaily|4800.0
641|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|379.0|2024-01-117|10:58|CryptoTimes|3700.0
642|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1913|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
643|Die nächsten Trends im Sportbereich 1913|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
644|Die Rolle der künstlichen Intelligenz in der Gesundheit 1913|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|496.0|2024-01-118|09:46|HealthWeekly|3400.0
645|Die nächsten Schritte in der Energiewende 1913|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|574.0|2024-03|08:16|EnergyReview|1600.0
646|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|694.0|2024-01-67|19:28|WorldPolitics|3300.0
647|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
648|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|894.0|2024-11-06|16:30|ScienceToday|1900.0
649|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|626.0|2024-01-119|21:08|HealthWeekly|3200.0
650|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|556.0|2024-04-24|15:26|TechNews|2700.0
651|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1912|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|605.0|2024-04-24|11:58|FinanceDaily|4800.0
652|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|379.0|2024-01-120|10:58|CryptoTimes|3700.0
653|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1911|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
654|Die nächsten Trends im Sportbereich 1911|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
655|Die Rolle der künstlichen Intelligenz in der Gesundheit 1911|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|497.0|2024-01-121|09:46|HealthWeekly|3400.0
656|Die nächsten Schritte in der Energiewende 1911|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|575.0|2024-03|08:16|EnergyReview|1600.0
657|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|695.0|2024-01-68|19:28|WorldPolitics|3300.0
